1,w,19763
2,i,5712
3,na,4242
4,z,3931
5,się,2273
6,ur,2222
7,do,2211
8,roku,1971
9,jest,1783
10,od,1714
11,przez,1290
12,a,1115
13,zm,991
14,gmina,937
15,wieś,921
16,to,899
17,powiecie,899
18,polsce,886
19,we,847
20,oraz,814
21,województwie,793
22,o,768
23,miejscowość,756
24,położona,748
25,gminie,725
26,m,631
27,regionie,623
28,km,623
29,polski,588
30,r,581
31,lub,569
32,po,536
33,latach,507
34,francji,499
35,jako,454
36,departamencie,430
37,miasto,424
38,jego,416
39,został,416
40,nie,416
41,był,409
42,mieszkańców,366
43,września,365
44,rodziny,360
45,miasta,360
46,lutego,359
47,października,353
48,maja,352
49,marca,347
50,stycznia,344
51,lat,343
52,listopada,343
53,także,334
54,dla,332
55,są,328
56,pod,326
57,ang,325
58,kraju,323
59,części,322
60,ii,319
61,lipca,312
62,amerykański,310
63,również,307
64,pozycji,307
65,czerwca,305
66,przy,305
67,kwietnia,301
68,piłkarz,300
69,de,299
70,sierpnia,293
71,została,290
72,za,288
73,leży,281
74,znajduje,279
75,prowincji,269
76,n,264
77,the,262
78,który,262
79,świata,260
80,nad,260
81,grupy,260
82,obecnie,258
83,zachód,256
84,grudnia,255
85,niem,254
86,odkryta,254
87,ok,250
88,jej,247
89,hrabstwie,243
90,była,241
91,jak,240
92,stanie,235
93,nazwa,234
94,gatunek,231
95,p,230
96,ze,229
97,j,227
98,dystrykcie,226
99,anglii,225
100,tym,221
101,były,217
102,album,216
103,planetoida,215
104,polityk,209
105,jeden,208
106,skład,206
107,warszawie,205
108,odległości,204
109,ciągu,203
110,podczas,202
111,pierwszy,199
112,tego,196
113,średniej,195
114,około,195
115,według,194
116,of,190
117,wieku,188
118,głównego,186
119,północny,186
120,wojny,185
121,londynu,184
122,słońce,183
123,niemczech,182
124,które,181
125,ros,180
126,zespół,180
127,okrążająca,178
128,pasa,178
129,wschód,175
130,wydany,174
131,in,173
132,asteroid,172
133,zespołu,172
134,ma,171
135,u,170
136,gminy,166
137,siedzibą,166
138,polska,160
139,występujący,159
140,grający,157
141,rodzaj,155
142,że,155
143,miejsce,153
144,e,153
145,część,152
146,występuje,150
147,on,149
148,co,147
149,zachodniej,144
150,typu,143
151,polskiego,143
152,światowej,141
153,terenie,141
154,film,139
155,między,138
156,położony,138
157,która,137
158,ten,137
159,związkowym,136
160,też,135
161,parafia,134
162,pochodzi,134
163,kościoła,134
164,usa,134
165,s,134
166,niemiecki,133
167,północ,132
168,tej,131
169,północnej,130
170,której,129
171,włoszech,129
172,stacja,129
173,ją,127
174,znany,127
175,zjednoczonych,126
176,wschodniej,125
177,jedna,125
178,znajdująca,125
179,południowej,123
180,rodzaju,123
181,św,123
182,działacz,122
183,ich,121
184,pomiędzy,121
185,mieście,121
186,głównie,119
187,pomorskim,118
188,wchodzi,115
189,osób,115
190,d,115
191,tylko,112
192,pochodzenia,112
193,gdzie,112
194,przed,112
195,kościół,111
196,np,111
197,którym,109
198,pomocnika,109
199,jednak,109
200,pisarz,108
201,francuski,107
202,port,107
203,mazowieckim,106
204,miała,105
205,mężczyzn,105
206,wysokości,105
207,którego,104
208,go,103
209,czy,103
210,aktor,103
211,b,101
212,mistrzostw,100
213,linii,99
214,l,99
215,tytuł,99
216,kobiet,98
217,łac,98
218,danych,98
219,tys,97
220,miejscowości,97
221,nr,97
222,dwóch,97
223,położone,97
224,raz,97
225,ngc,97
226,których,97
227,południowy,96
228,może,96
229,członek,96
230,południowo,96
231,należy,95
232,km²,94
233,centrum,93
234,wsi,93
235,saint,93
236,jednym,93
237,iii,92
238,lotniczy,90
239,reżyserii,90
240,szczyt,90
241,syn,89
242,obrońcy,89
243,nowym,89
244,grupa,88
245,klub,88
246,język,87
247,gwiazdozbiorze,87
248,innych,87
249,osada,87
250,europy,86
251,wynosi,86
252,liczy,86
253,jan,85
254,polskiej,84
255,ale,84
256,krakowie,84
257,system,84
258,ukr,83
259,być,83
260,armii,83
261,nim,82
262,brytyjski,82
263,la,82
264,profesor,82
265,ul,82
266,siedziba,82
267,wielkopolskim,82
268,dzielnicy,82
269,gra,82
270,czasie,81
271,północno,80
272,najbardziej,80
273,wojska,79
274,diecezji,79
275,często,78
276,środkowej,78
277,jap,78
278,historii,78
279,łódzkim,78
280,piłkarski,77
281,wielkiej,77
282,muzyki,77
283,sejm,76
284,później,76
285,wraz,76
286,poseł,76
287,drugi,76
288,park,75
289,c,75
290,lista,75
291,uniwersytetu,75
292,południe,75
293,kolejowa,74
294,imię,74
295,liczyła,74
296,medalista,74
297,związek,74
298,okresu,73
299,wielu,73
300,amerykańska,73
301,serii,73
302,włoski,73
303,było,73
304,stanach,72
305,długości,72
306,woj,72
307,różnych,72
308,powstał,72
309,autor,72
310,ulicy,72
311,klubu,72
312,wydana,71
313,and,71
314,najczęściej,71
315,wyspy,71
316,gr,71
317,pobliżu,70
318,należący,70
319,celu,70
320,odkrył,70
321,rosyjski,70
322,górna,70
323,posiada,69
324,ponad,69
325,należącego,69
326,muzyczny,69
327,galaktyka,69
328,znajdują,69
329,x,68
330,następnie,68
331,powstała,68
332,ważki,68
333,wyniku,68
334,mistrz,68
